id,latest_ep,name,genre,status,score,review,publish_year,duration,link
3056,453/480,Độc Bộ Tiêu Dao,CN Animation,Đang tiến hành,7.4,664,2020,480 Tập,https://animehay.biz/thong-tin-phim/doc-bo-tieu-dao-3056.html
3056,453/480,Độc Bộ Tiêu Dao,Kiếm hiệp,Đang tiến hành,7.4,664,2020,480 Tập,https://animehay.biz/thong-tin-phim/doc-bo-tieu-dao-3056.html
3056,453/480,Độc Bộ Tiêu Dao,Huyền ảo,Đang tiến hành,7.4,664,2020,480 Tập,https://animehay.biz/thong-tin-phim/doc-bo-tieu-dao-3056.html
3056,453/480,Độc Bộ Tiêu Dao,Xuyên không,Đang tiến hành,7.4,664,2020,480 Tập,https://animehay.biz/thong-tin-phim/doc-bo-tieu-dao-3056.html
3056,453/480,Độc Bộ Tiêu Dao,Trùng sinh,Đang tiến hành,7.4,664,2020,480 Tập,https://animehay.biz/thong-tin-phim/doc-bo-tieu-dao-3056.html
4090,11/13,"""Oshi no Ko"" 2nd Season",Anime,Đang tiến hành,7.8,170,2024,13 Tập,https://animehay.biz/thong-tin-phim/oshi-no-ko-2nd-season-4090.html
4090,11/13,"""Oshi no Ko"" 2nd Season",Drama,Đang tiến hành,7.8,170,2024,13 Tập,https://animehay.biz/thong-tin-phim/oshi-no-ko-2nd-season-4090.html
4090,11/13,"""Oshi no Ko"" 2nd Season",Seinen,Đang tiến hành,7.8,170,2024,13 Tập,https://animehay.biz/thong-tin-phim/oshi-no-ko-2nd-season-4090.html
4090,11/13,"""Oshi no Ko"" 2nd Season",Siêu nhiên,Đang tiến hành,7.8,170,2024,13 Tập,https://animehay.biz/thong-tin-phim/oshi-no-ko-2nd-season-4090.html
4114,10/??,Kinnikuman Perfect Origin Arc,Anime,Đang tiến hành,2.4,26,2024,?? Tập,https://animehay.biz/thong-tin-phim/kinnikuman-perfect-origin-arc-4114.html
4114,10/??,Kinnikuman Perfect Origin Arc,Hài hước,Đang tiến hành,2.4,26,2024,?? Tập,https://animehay.biz/thong-tin-phim/kinnikuman-perfect-origin-arc-4114.html
4114,10/??,Kinnikuman Perfect Origin Arc,Thể thao,Đang tiến hành,2.4,26,2024,?? Tập,https://animehay.biz/thong-tin-phim/kinnikuman-perfect-origin-arc-4114.html
4123,10/??,Tasuuketsu,Anime,Đang tiến hành,3.2,32,2024,?? Tập,https://animehay.biz/thong-tin-phim/tasuuketsu-4123.html
4123,10/??,Tasuuketsu,Hành động,Đang tiến hành,3.2,32,2024,?? Tập,https://animehay.biz/thong-tin-phim/tasuuketsu-4123.html
4123,10/??,Tasuuketsu,Drama,Đang tiến hành,3.2,32,2024,?? Tập,https://animehay.biz/thong-tin-phim/tasuuketsu-4123.html
4122,10/??,Na Nare Hana Nare,Anime,Đang tiến hành,5.2,19,2024,?? Tập,https://animehay.biz/thong-tin-phim/na-nare-hana-nare-4122.html
4122,10/??,Na Nare Hana Nare,Thể thao,Đang tiến hành,5.2,19,2024,?? Tập,https://animehay.biz/thong-tin-phim/na-nare-hana-nare-4122.html
4029,24/??,Ookami to Koushinryou: merchant meets the wise wolf,Anime,Đang tiến hành,8.2,98,2024,?? Tập,https://animehay.biz/thong-tin-phim/ookami-to-koushinryou-merchant-meets-the-wise-wolf-4029.html
4029,24/??,Ookami to Koushinryou: merchant meets the wise wolf,Tình cảm,Đang tiến hành,8.2,98,2024,?? Tập,https://animehay.biz/thong-tin-phim/ookami-to-koushinryou-merchant-meets-the-wise-wolf-4029.html
4029,24/??,Ookami to Koushinryou: merchant meets the wise wolf,Giả tưởng,Đang tiến hành,8.2,98,2024,?? Tập,https://animehay.biz/thong-tin-phim/ookami-to-koushinryou-merchant-meets-the-wise-wolf-4029.html
4029,24/??,Ookami to Koushinryou: merchant meets the wise wolf,Lịch sử,Đang tiến hành,8.2,98,2024,?? Tập,https://animehay.biz/thong-tin-phim/ookami-to-koushinryou-merchant-meets-the-wise-wolf-4029.html
4029,24/??,Ookami to Koushinryou: merchant meets the wise wolf,Phiêu lưu,Đang tiến hành,8.2,98,2024,?? Tập,https://animehay.biz/thong-tin-phim/ookami-to-koushinryou-merchant-meets-the-wise-wolf-4029.html
4112,11/??,Katsute Mahou Shoujo to Aku wa Tekitai Shiteita,Anime,Đang tiến hành,8.2,63,2024,?? Tập,https://animehay.biz/thong-tin-phim/katsute-mahou-shoujo-to-aku-wa-tekitai-shiteita-4112.html
4112,11/??,Katsute Mahou Shoujo to Aku wa Tekitai Shiteita,Tình cảm,Đang tiến hành,8.2,63,2024,?? Tập,https://animehay.biz/thong-tin-phim/katsute-mahou-shoujo-to-aku-wa-tekitai-shiteita-4112.html
4112,11/??,Katsute Mahou Shoujo to Aku wa Tekitai Shiteita,Siêu nhiên,Đang tiến hành,8.2,63,2024,?? Tập,https://animehay.biz/thong-tin-phim/katsute-mahou-shoujo-to-aku-wa-tekitai-shiteita-4112.html
4119,11/??,Isekai Shikkaku,Anime,Đang tiến hành,8.3,111,2024,?? Tập,https://animehay.biz/thong-tin-phim/isekai-shikkaku-4119.html
4119,11/??,Isekai Shikkaku,Hành động,Đang tiến hành,8.3,111,2024,?? Tập,https://animehay.biz/thong-tin-phim/isekai-shikkaku-4119.html
4119,11/??,Isekai Shikkaku,Hài hước,Đang tiến hành,8.3,111,2024,?? Tập,https://animehay.biz/thong-tin-phim/isekai-shikkaku-4119.html
4119,11/??,Isekai Shikkaku,Phiêu lưu,Đang tiến hành,8.3,111,2024,?? Tập,https://animehay.biz/thong-tin-phim/isekai-shikkaku-4119.html
4133,9/??,Trảm Thần,CN Animation,Đang tiến hành,9.4,245,2024,?? Tập,https://animehay.biz/thong-tin-phim/tram-than-4133.html
4131,8/26,Kiếm Lai,CN Animation,Đang tiến hành,9.4,415,2024,26 Tập,https://animehay.biz/thong-tin-phim/kiem-lai-4131.html
4131,8/26,Kiếm Lai,Tiên hiệp,Đang tiến hành,9.4,415,2024,26 Tập,https://animehay.biz/thong-tin-phim/kiem-lai-4131.html
4131,8/26,Kiếm Lai,Huyền ảo,Đang tiến hành,9.4,415,2024,26 Tập,https://animehay.biz/thong-tin-phim/kiem-lai-4131.html
3717,167/260,Luyện Khí Mười Vạn Năm,CN Animation,Đang tiến hành,8.5,699,2023,260 Tập,https://animehay.biz/thong-tin-phim/luyen-khi-muoi-van-nam-3717.html
3717,167/260,Luyện Khí Mười Vạn Năm,Tiên hiệp,Đang tiến hành,8.5,699,2023,260 Tập,https://animehay.biz/thong-tin-phim/luyen-khi-muoi-van-nam-3717.html
3717,167/260,Luyện Khí Mười Vạn Năm,Huyền ảo,Đang tiến hành,8.5,699,2023,260 Tập,https://animehay.biz/thong-tin-phim/luyen-khi-muoi-van-nam-3717.html
3055,478/496,Võ Thần Chúa Tể,CN Animation,Đang tiến hành,8.5,1121,2020,496 Tập,https://animehay.biz/thong-tin-phim/vo-than-chua-te-3055.html
3055,478/496,Võ Thần Chúa Tể,Tiên hiệp,Đang tiến hành,8.5,1121,2020,496 Tập,https://animehay.biz/thong-tin-phim/vo-than-chua-te-3055.html
3055,478/496,Võ Thần Chúa Tể,Xuyên không,Đang tiến hành,8.5,1121,2020,496 Tập,https://animehay.biz/thong-tin-phim/vo-than-chua-te-3055.html
3055,478/496,Võ Thần Chúa Tể,Trùng sinh,Đang tiến hành,8.5,1121,2020,496 Tập,https://animehay.biz/thong-tin-phim/vo-than-chua-te-3055.html
3055,478/496,Võ Thần Chúa Tể,Huyền ảo,Đang tiến hành,8.5,1121,2020,496 Tập,https://animehay.biz/thong-tin-phim/vo-than-chua-te-3055.html
3084,121/135,Nhất Niệm Vĩnh Hằng,CN Animation,Đang tiến hành,9.0,2266,2020,135 Tập,https://animehay.biz/thong-tin-phim/nhat-niem-vinh-hang-3084.html
3084,121/135,Nhất Niệm Vĩnh Hằng,Tiên hiệp,Đang tiến hành,9.0,2266,2020,135 Tập,https://animehay.biz/thong-tin-phim/nhat-niem-vinh-hang-3084.html
3084,121/135,Nhất Niệm Vĩnh Hằng,Huyền ảo,Đang tiến hành,9.0,2266,2020,135 Tập,https://animehay.biz/thong-tin-phim/nhat-niem-vinh-hang-3084.html
3787,75/104,Già Thiên,CN Animation,Đang tiến hành,8.7,1354,2023,104 Tập,https://animehay.biz/thong-tin-phim/gia-thien-3787.html
3787,75/104,Già Thiên,Tiên hiệp,Đang tiến hành,8.7,1354,2023,104 Tập,https://animehay.biz/thong-tin-phim/gia-thien-3787.html
3787,75/104,Già Thiên,Xuyên không,Đang tiến hành,8.7,1354,2023,104 Tập,https://animehay.biz/thong-tin-phim/gia-thien-3787.html
3787,75/104,Già Thiên,Huyền ảo,Đang tiến hành,8.7,1354,2023,104 Tập,https://animehay.biz/thong-tin-phim/gia-thien-3787.html
3231,270/274,Vạn Giới Độc Tôn,CN Animation,Đang tiến hành,8.1,552,2021,274 Tập,https://animehay.biz/thong-tin-phim/van-gioi-doc-ton-3231.html
3231,270/274,Vạn Giới Độc Tôn,Kiếm hiệp,Đang tiến hành,8.1,552,2021,274 Tập,https://animehay.biz/thong-tin-phim/van-gioi-doc-ton-3231.html
3231,270/274,Vạn Giới Độc Tôn,Huyền ảo,Đang tiến hành,8.1,552,2021,274 Tập,https://animehay.biz/thong-tin-phim/van-gioi-doc-ton-3231.html
3231,270/274,Vạn Giới Độc Tôn,Dị giới,Đang tiến hành,8.1,552,2021,274 Tập,https://animehay.biz/thong-tin-phim/van-gioi-doc-ton-3231.html
4043,24/??,Mission: Yozakura Family,Anime,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.biz/thong-tin-phim/mission-yozakura-family-4043.html
4043,24/??,Mission: Yozakura Family,Hành động,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.biz/thong-tin-phim/mission-yozakura-family-4043.html
4043,24/??,Mission: Yozakura Family,Hài hước,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.biz/thong-tin-phim/mission-yozakura-family-4043.html
4043,24/??,Mission: Yozakura Family,Tình cảm,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.biz/thong-tin-phim/mission-yozakura-family-4043.html
4043,24/??,Mission: Yozakura Family,Siêu năng lực,Đang tiến hành,8.4,148,2024,?? Tập,https://animehay.biz/thong-tin-phim/mission-yozakura-family-4043.html
4089,11/??,"Shinmai Ossan Bouken-sha, Saikyou Party ni Shinu Hodo Kitaerarete Muteki ni Naru",Hành động,Đang tiến hành,7.6,143,2024,?? Tập,https://animehay.biz/thong-tin-phim/shinmai-ossan-bouken-sha-saikyou-party-ni-shinu-hodo-kitaerarete-muteki-ni-naru-4089.html
4089,11/??,"Shinmai Ossan Bouken-sha, Saikyou Party ni Shinu Hodo Kitaerarete Muteki ni Naru",Hài hước,Đang tiến hành,7.6,143,2024,?? Tập,https://animehay.biz/thong-tin-phim/shinmai-ossan-bouken-sha-saikyou-party-ni-shinu-hodo-kitaerarete-muteki-ni-naru-4089.html
